A,33/11 KV Substation Works - Partly outdoor type substation( 2x 10 MVA ) (with 33 KV outdoor type bay 2 nos. and 11 KV bay indoor type 8 Nos.),0,3,3
B,33/11 KV Substation Works - Partly outdoor type substation ( 2x 5 MVA ) (with 33 KV outdoor type bay 2 nos. and 11 KV bay indoor type 4 Nos. ),0,1,1
D,33 KV Lines on Rail pole with ACSR Wolf Conductor,0,107,107
E,Reconductoring of 33 KV Line By ACSR Wolf Conductor,0,13,13
F,33 KV Bay Extension,0,5,5
G,33 KV Railway Crossing (Double Circuit),0,1,1
H,33 KV Metering System,0,5,5
I,Construction of Single Circuit 11 KV Line with ACSR Dog Conductor on Rail Pole :,0,22,22
J,11 KV Lines on  13 M 52 Kg /M  Rail Pole with ACSR Dog Conductor (Double Circuit),0,22,22
K,"Construction of Single Circuit 11 KV Line with ACSR Dog Conductor on 9 M, 400 Kg PSC Pole :",0,154,154
L,11 KV Lines on 9 mtr./400 kgs PSC pole with ACSR Rabbit conductor,0,207,207
M,11 KV Lines on 8 m/ 200 kgs PSC pole with Rabbit conductor,0,207,207
N,11 KV Lines on 8 mtr./ 200 kgs PSC pole with ACSR Weasel conductor,0,103,103
Q,Reconductoring of 11 KV Line With ACSR Rabbit Conductor on PSC Pole ,0,54,54
S,11 KV Railway Crossing (Double Circuit),0,1,1
U,Capacitor Bank,0,14,14
V,Distribution Transformer Substations ( 200 KVA) on Rail pole,0,26,26
W,Distribution Transformer Substations  200 KVA on 9 Mtr. 400 Kg PSC Pole,0,60,60
X,Distribution Transformer Substations  100 KVA on 9 Mtr. 400 kg PSC Pole,0,74,74
Y,Distribution Transformer Substations  100 KVA on 8 Mtr. 200 kg PSC Pole,0,74,74
Z,Distribution Transformer Substations  63 KVA on 8 Mtr. PSC pole,0,122,122
AA,Augmentation of 100 KVA Distribution Transformer by 200 KVA new Distribution Transformer,0,66,66
AB,Augmentation of 63 KVA Distribution Transformer by 100 KVA Distribution Transformer (NEW),0,0,0
AC,Augmentation of 63 KVA Distribution Transformer by 100 KVA Released Distribution Transformer (Released),0,66,66
AD,R & M of Existing  Distribution  Substations ,0,319,319
AE,"Construction of 3 Phase 4 Wire LT Line on 8M, 200 Kg PSC with ACSR Weasel Conductor in Vertical configuration ",0,90,90
AF,"Construction of 3 Phase 4 Wire LT Line on 8M, 200 Kg PSC with ACSR Weasel Conductor in Horizontal configuration ",0,210,210
AG,"Construction of 3 Phase 4 Wire LT Line on 8M, 200 Kg PSC with ACSR Rabbit Conductor in Horizontal configuration ",0,79,79
