A,A,Construction of New 33kV Line on 13m Rail Pole with ACSR Wolf Conductor,,64,10.55,74.55,,
A,1,ACSR Wolf Conductor,KM,197.76,32.5995,230.3595,135670,5426.8
A,2,105 lb (52 Kg/ meter) Rail Pole (13 meter long),No,1152,189.9,1341.9,52203.155,2088.1262
A,3,Pole top Bracket,No,1024,168.8,1192.8,264.48,10.5792
A,4,V-Cross Arm made of 100x50x6 mm MS Channel (Galvanised),No,1024,168.8,1192.8,1322.4,52.896
A,5,Back Clamp for V-Cross Arm & Top Bracket made of 50x10 mm MS Flat (Galvanised),No.,2048,337.6,2385.6,132.24,5.2896
A,6,"DP Channel made of 100x50x6 mm MS Channel (Galvanised), 3.0 Mtr. Long each)",No.,256,42.2,298.2,5206.95,208.278
A,7,DP Channel Support Clamp made of 50x6 mm MS Flat (Galvanised),Pair,512,84.4,596.4,297.54,11.9016
A,8,33 kv pin Insulator with Pin,No.,3264,538.05,3802.05,412.3075,16.4923
A,9,33 kV Disc Insulator assembly comprising of 3 Nos. disc insulators (70 KN EMS and 320mm minimum creepage distance) with all Hardware Fittings and accessories complete (suitable to WOLF conductor),Set,576,94.95,670.95,687.3,27.492
A,10,"Stay Set (1800x20 mm) assembly alongwith guy insulator, guy grip, stay wire (7/10 SWG) etc complete.",Set,640,105.5,745.5,2200,88
A,11,Stone Stay Plate,No.,640,105.5,745.5,181.25,7.25
A,12,Packing Piece for Rail Pole Back Clamp (50x6 mm MS Flat),No.,1792,295.4,2087.4,99.18,3.9672
A,13,Stone Base Plate,No.,1152,189.9,1341.9,181.25,7.25
A,14,Side Stay Clamp (50x10 mm MS Flat),Pair,512,84.4,596.4,198.36,7.9344
A,15,Angle Stay Clamp (150x10 mm MS Flat),Pair,128,21.1,149.1,148.77,5.9508
A,16,Cross Bracing for DP Structure (50x50x6 mm MS Angle),Set,192,31.65,223.65,2504.295,100.1718
A,17,Clamp for Cross Bracing for DP Structure (50x6 mm MS Flat),No.,384,63.3,447.3,198.36,7.9344
A,18,Earthing Complete,,0,0,0,0,0
A,a,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,1024,168.8,1192.8,150.8,6.032
