Name of Drawing,Type of Line,Type of Pole,Type of Structure,Drawing No,No of Sets required,S.No,ERE Code,Description,Section,Length (mm),Qty/set (Nos),"Wt/Mtr
(Kg)",Total Wt in KG,Required Qty,Required Wt
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,1,3R01,Pole Top Bracket,65x65x6,380,1,5.8,2.204,1,2.204
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,,3R01-i,Welding Piece for Pole Top Bracket,100x50x6,65,1,7.9,0.514,1,0.514
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,2,3R02,V-X Arm,100x50x6,2143,1,7.9,16.930,1,16.930
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,3,3R03,Back clamp for V-X Arm,50x10,496,1,3.93,1.949,1,1.949
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,4,3R04,Dummy Clamp/Stay set Clamp-A,50x10,414,1,3.93,1.627,1,1.627
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,5,3R05,Dummy Clamp/Stay set Clamp-B,50x10,361,1,3.93,1.419,1,1.419
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,6,3R07,Top Bracket Fixing clamp,50x10,383,2,3.93,3.01,2,3.010
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,7,EP,Earthing Piece,50x50x6,50,1,4.5,0.225,1,0.225
33kV Line formation on SP on 13M(52Kg) Rail Pole (In Line Formation),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-001 Rev No 00,1,8,CIP,CI Packing piece,,,1,,,1,0.000
33kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-002 Rev No 00,1,1,3R01,Pole Top Bracket,65x65x6,380,1,5.8,2.204,1,2.204
33kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-002 Rev No 00,1,,3R01-i,Welding Piece for Pole Top Bracket,100x50x6,65,1,7.9,0.514,1,0.514
33kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-002 Rev No 00,1,2,3R02,V-X Arm,100x50x6,2143,1,7.9,16.930,1,16.930
33kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-002 Rev No 00,1,3,3R03,Back clamp for V-X Arm,50x10,496,1,3.93,1.949,1,1.949
33kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-002 Rev No 00,1,4,3R07,Top Bracket Fixing clamp,50x10,383,4,3.93,6.021,4,6.021
33kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-002 Rev No 00,1,5,EP,Earthing Piece,50x50x6,50,1,4.5,0.225,1,0.225
33kV Line formation on SP on 13M(52Kg) Rail Pole (Anguler Location 0º-10º),33kV,Rail Pole,SP,SSEL-SBPDCL-33kV-002 Rev No 00,1,6,CIP,CI Packing piece,,,1,,,1,0.000
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,1,3R04,Dummy Clamp/Stay set Clamp-A,50x10,414,2,3.93,3.254,2,3.254
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,2,3R05,Dummy Clamp/Stay set Clamp-B,50x10,361,2,3.93,2.837,2,2.837
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,3,3R07,Dummy Clamp/Stay set Clamp-C,50x10,383,4,3.93,6.021,4,6.021
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,4,3R09,Top Channel,100x50x6,3150,2,7.9,49.77,2,49.770
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,5,3R10,Belting Angle,65x65x6,1790,2,5.8,20.764,2,20.764
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,6,3R11,Bracing Angle,50x50x6,2790,2,4.5,25.11,2,25.110
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,7,3R12,Back clamp for Belting Angle,50x8,482,4,3.14,6.054,4,6.054
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,8,3R13,Fish Plate,50x6,266,6,2.36,3.767,6,3.767
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,9,3R14,Back clamp for Danger Board,25x3,443,1,0.589,0.261,1,0.261
33kV Line formation on DP on 13M(52Kg) Rail Pole (In Line Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-003 Rev No 00,1,10,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,1,3R04,Dummy Clamp/Stay set Clamp-A,50x10,414,2,3.93,3.254,2,3.254
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,2,3R05,Dummy Clamp/Stay set Clamp-B,50x10,361,2,3.93,2.837,2,2.837
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,3,3R07,Dummy Clamp/Stay set Clamp-C,50x10,383,4,3.93,6.021,4,6.021
33kV Line formation on DP on 13M(52Kg) Rail Pole (Dead End Location),33kV,Rail Pole,DP,SSEL-SBPDCL-33kV-004 Rev No 00,1,4,3R09,Top Channel,10x50x6,3150,2,7.9,49.77,2,49.770
