Bill of Material,,,,,,,,,,,,,,,,
Name of Drawing,Type of Line,Type of Pole,Type of Structure,Drawing No,No of Sets required,S.No,ERE Code,Description,Section,Length (mm),Qty/set (Nos),"Wt/Mtr
(Kg)",Total Wt in KG,Required Qty,Required Wt,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,1,SP-11,V-CROSS ARM,75x40x6,1510,1,7.14,10.781,1,10.781,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,2,SP-11,Welded Washer for V Cross arm,50x6,50,4,2.36,0.472,4,0.472,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,3,SP-12,V-CROSS ARM BACK CLAMP,50x8,450,1,3.14,1.413,1,1.413,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,4,SP-13,F BRACKET,50x8,505,1,3.14,1.586,1,1.586,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,5,STAY-1A,STAY CLAMP FOR ANGULAR LOCATION,50x8,358,2,3.14,2.248,2,2.248,
11kV Line formation on SP on 8M PSC Pole ,11kV,8M,SP,SSEL/8SP-001,1,6,SP-13A,DANGER BOARD BACK CLAMP,25x3,600,1,0.599,0.359,1,0.359,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,1,CP01,Pole Top Bracket,50X8,487,1,3.14,1.529,1,1.529,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,2,CP02,Horizontal Cross Arm,75x40x6,1170,2,5.7,13.338,2,13.338,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,3,CP03,Stay Set Clamp-A,50X8,376,2,3.14,2.361,2,2.361,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,4,CP04,Stay Set Clamp-B,50X8,372,2,3.14,2.336,2,2.336,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,5,CP05,Clamp for Disc Insulator,50X8,499,2,3.14,3.134,2,3.134,
11kV Line formation on Rail Pole on 8M PSC Pole ,11kV,Rail Pole,SP,SSEL-NBPDCL-CP-001,1,6,CP06,Fish Plate,50X8,214,4,3.14,2.688,4,2.688,
