Poles,1,11 m long 105lb(52 kg per meter) Rail Pole ,No
Poles,2,13 m long 105lb(52 kg per meter) Rail Pole ,No
Poles,3,8 m/200 kgs PSC Poles ,No
Poles,4,9 M long 400 Kg PSC Pole ,No
Power Transformers,5,"33/11 kV, 10 MVA, PowerTransformer 3 ph, 50 Hz, ONAN,  Cu Wound, Outdoor Conventional type",No
Power Transformers,6,"33/11 kV, 5 MVA, 3 ph, 50 Hz, ONAN,  Cu Wound, Outdoor Conventional type PowerTransformer with off load tap charger ( completely filled with oil) as per TS",No
Distribution Transformers,7,"100 KVA, 11/0.433 kV, 3 ph, 50 Hz, ONAN,Aluminium  wound,(three star rated)",No
Distribution Transformers,8,"Three Phase 200 KVA Design,engineering, manufacture, testing & supply of 50 Hz, 11/0.433 KV",No
Distribution Transformers,9,"Three Phase 63 KVA Design,engineering, manufacture, testing & supply of 50 Hz, 11/0.433 KV",No
Conductors,10,ACSR  Wolf Conductor ,KM
Conductors,11,ACSR DOG Conductor,KM
Conductors,12,ACSR Weasel conductor ,KM
Conductors,13,ACSR Zebra conductor,KM
Conductors,14,ACSR Rabbit Conductor,KM
Insulators,15,11 KV 45 KN Disc Insulator B& S as per TS ,No.
Insulators,16,11 KV Disc Insulator (1 Set = 2 Nos Disc Insulator 70 KN) B& S ,Set
Insulators,17,11 KV Pin insulators  ,No
Insulators,18,33 KV Disc Insulator  Insulator  (1 Set = 4 Nos Disc Insulator 90 KN) B&S ,Set
Insulators,19,33 KV Pin Insulator  ,Nos.
Insulators,20,33 KV Porcelain Disc insulator assembly compising of 3 nos. disc insulator 70 KN as per technical specification. (1Set=3 nos.) B& S ,Set
Insulators,21,33 KV Porcelain Pin Insulators as per technical specification. ,No.
Insulators,22,33 KV Post Insulator (1 Set = 2 Nos of 22 KV) ,Set
Insulators,23,LT Pin insulator ,No.
Insulators,24,LT Shackle insulator without Strap sutaible for using bus bar with Dog conductor. ,No
Insulators,25,Shackle Insulator ( Type- II) ,No
Insulators,26,Stay Guy Insulator ,No
Insulator Hardware,27, GI Pin for 11 KV Pin insulators   ,No
Insulator Hardware,28,GI PIN for 33 KV  Pin Insulators as per technical specification. ,No.
Insulator Hardware,29,H/W fittings suitable to ACSR Wolf conductors and  accessories complete for 33 KV Disc insulators  (B&S Type) as per technical specification. ,No.
Insulator Hardware,30,Hardware fitting for 11 KV Disc Insulator suitable for ACSR Zebra Conductor ,Set
Insulator Hardware,31,Hardware fitting for 33 KV Disc Insulator   (B&S Type) ACSR Zebra Condcutor ,Set
Insulator Hardware,32,Hardware fittings for 11 KV Disc insulators as per TS (B&S Type) ACSR Dog Conductor ,Set
Insulator Hardware,33,"Hardware fittings for 11 KV, 45 KN Disc Insulator  (B&S Type) ACSR RABBIT Conductors  ",Set
Insulator Hardware,34,"Hardware fittings for 11 KV, 45 KN Disc Insulator  (B&S Type) ACSR Dog Conductor ",Set
Insulator Hardware,35,LT Pin ,No.
Insulator Hardware,36,Pin for 33 KV Pin Insulator  ,Nos.
Insulator Hardware,37,Straps for Type II shackle insulator  ,Pair
Cables,38,1 phase ABC  [1 X16 Sq mm {Phase}+{1x25 Sq mm Messenger cum Neutral wire}] ,Km
Cables,39,3 phase ABC  [3 X50Sq mm {Phase}+{1x35 Sq mm Messenger cum Neutral wire}] ,Km
Cables,40,3 phase ABC  [3 X70Sq mm {Phase}+{1x50 Sq mm Messenger cum Neutral wire}] ,Km
Cables,41,3 phase ABC  [3 X95Sq mm {Phase}+{1x70 Sq mm Messenger cum Neutral wire}] ,Km
Cables,42,"11 kV grade XLPE, 3 core, 300 sqmm size power cable",Km
Cables,43,"11 KV, XLPE, Power cable, aluminium  conductor, stranded 1Cx 630 sqmm (Un -armoured)",km
