,33kV Gantry Tower with peak-6.5Mtr,135-STR-SB-001,,,,,,
"Ref 
MARK .No.",DESCRIPTION,MATERIAL,SECTION MM,"LENGTH 
MM",Unit Wt/PC,"Wt./Mtr
Kg./Mtr.","QTY
(in.Nos)",
3TT1,BASE PLATE,MS PLATE,16,400,5.030,125.76,2,
3TT2,STIFFNER FLAT-1,MS FLAT,75X6,100,0.354,3.54,8,
3TT4,FRAME-1,MS ANGLE ,65X65X6,3750,21.750,5.80,2,
3TT1,BASE PLATE,MS PLATE,16,400,5.030,125.76,2,
3TT2,STIFFNER FLAT-1,MS FLAT,75X6,100,0.354,3.54,8,
3TT5,FRAME-2,MS ANGLE ,65X65X6,3750,21.750,5.80,2,
3TT6,FRAME-3,MS ANGLE ,65X65X6,3161,18.334,5.80,2,
3TT7,FRAME-4,MS ANGLE ,65X65X6,3161,18.334,5.80,2,
3TT8,FRAME-5,MS ANGLE ,50X50X6,1567,7.052,4.50,2,
3TT9,FRAME-6,MS ANGLE ,50X50X6,1567,7.052,4.50,2,
3TT10,JOINING ANGLE,MS ANGLE ,65X65X6,256,1.485,5.80,4,
3TT11,JOINING FLAT,MS FLAT,50X8,256,0.804,3.14,8,
3TT12,BRACING-1,MS ANGLE ,45X45X5,905,3.077,3.40,16,
3TT13,BRACING-2,MS ANGLE ,45X45X5,906,3.080,3.40,16,
3TT12A,BRACING-3,MS ANGLE ,45X45X5,878,2.985,3.40,4,
3TT19,BRACING-4,MS ANGLE ,45X45X5,357,1.214,3.40,4,
3TT14,BRACING-5,MS ANGLE ,50X50X6,631,2.840,4.50,4,
3TT14A,BRACING-6,MS ANGLE ,50X50X6,631,2.840,4.50,4,
3TT15,BRACING-7,MS ANGLE ,45X45X5,649,2.207,3.40,4,
3TT16,BRACING-8,MS ANGLE ,45X45X5,649,2.207,3.40,4,
3TT23,BRACING-9,MS ANGLE ,45X45X5,858,2.917,3.40,2,
3TT24,BRACING-10,MS ANGLE ,45X45X5,858,2.917,3.40,2,
3TT18,BRACING-11,MS ANGLE ,45X45X5,1034,3.516,3.40,4,
3TT20,STIFFNER FLAT-2,MS FLAT,100X6,155,0.732,4.72,2,
3TT17,GRIDER FIXING FLAT,MS FLAT,100X8,154,0.970,6.30,8,
3TT21,LIGHTNING SPIKE FIXING PLATE,MS PLATE,6,50700,2.391,47.16,1,
3TT22,SHIELD WIRE FIXING PLATE,MS PLATE,6,54289,2.560,47.16,1,
