,33kV PT Structure,135-STR-SB-010,,,,,
MARK NO.,DESCRIPTION,,SECTION,"LENGTH
(in mm)","QTY.
(in.Nos)","Wt./Mtr.
Kg./Mtr.",Unit Wt/PC
3PT1,MAIN FRAME - 1,,65x65x6,2518,2,5.80,14.604
3PT3,BASE PLATE,,150x12,150,2,94.20,2.120
3PT4,STIFFNER PLATE,,100x8,50,4,62.80,0.314
3PT2,MAIN FRAME - 2,,65x65x6,2518,2,5.80,14.604
3PT3,BASE PLATE,,150x12,150,2,94.20,2.120
3PT4,STIFFNER PLATE,,100x8,50,4,62.80,0.314
3PT5,BRACING ANGLE-1,,45x45x5,1816,4,3.40,6.174
3PT6,BRACING ANGLE-2,,45x45x5,1478,2,3.40,5.025
3PT7,BRACING ANGLE-3,,45x45x5,1190,2,3.40,4.046
3PT7A,BRACING ANGLE-4,,45x45x5,1190,2,3.40,4.046
3PT8,TOP BRACING ANGLE,,65x65x6,380,2,5.80,2.204
3PT9,PT MOUNTING CHANNEL,,75x40,3300,2,5.70,18.810
3PT10,SUPPORTING ANGLE FOR OPERATING BOX,,45x45x5,130,4,3.4,0.442
3PT11,OPERATING BOX FIXING ANGLE,,45x45x5,625,2,3.4,2.125
