,11kV Isolator Structure,135-STR-SB-014,,,,,
MARK NO.,DESCRIPTION,,SECTION,"LENGTH
(in mm)","QTY.
(in.Nos)","Wt./Mtr.
Kg./Mtr.",Unit Wt/PC
1ISO1,MAIN FRAME - 1,,65x65x6,2964,2,5.80,17.191
1ISO3,BASE PLATE,,150x12,150,2,94.20,2.120
1ISO4,STIFFNER PLATE,,100x8,50,4,62.80,0.314
1ISO2,MAIN FRAME - 2,,65x65x6,2964,2,5.80,17.191
1ISO3,BASE PLATE,,150x12,150,2,94.20,2.120
1ISO4,STIFFNER PLATE,,100x8,50,4,62.80,0.314
1ISO5,BRACING ANGLE-1,,45x45x5,1560,4,3.40,5.304
1ISO5A,BRACING ANGLE-2,,45x45x5,1560,4,3.40,5.304
1ISO6,BRACING ANGLE-3,,45x45x5,878,2,3.40,2.985
1ISO7,BRACING ANGLE-4,,45x45x5,1405,2,3.40,4.777
1ISO7A,BRACING ANGLE-5,,45x45x5,1405,2,3.40,4.777
1ISO8,ISOLATOR MOUNTING CHANNEL,,75x40,2000,2,5.70,11.400
1ISO9,TOP BRACING ANGLE,,65x65x6,400,2,5.80,2.320
1ISO10,SUPPORTING ANGLE FOR OPERATING BOX,,45x45x5,150,8,3.4,0.510
1ISO11,OPERATING BOX FIXING ANGLE,,45x45x5,420,4,3.4,1.428
