,33KV SWING BUS STRUCTURE,135-3SBSTR-SB-001,,,,,
33KV SWING BUS STRUCTURE,,,,,,,
ERE CODE,DESCRIPTION,MATERIAL,SECTION MM,LENGTH MM,Unit Wt/PC,Wt/Mtr,QTY in (Nos)
3SB01,Main Leg,M.S Angle,65x65x6,6956,40.345,5.80,4
3SB02,Disc Insulator Fixing Channel,M.S Channel,75x40x6,3300,23.562,7.14,2
3SB03,Bracing Angle-1,M.S Angle,50x50x6,2602,11.709,4.50,12
3SB04,Bracing Angle-2,M.S Angle,50x50x6,2050,9.225,4.50,4
3SB05,Bracing Angle-3,M.S Angle,50x50x6,2078,9.351,4.50,4
3SB06,Bracing Angle-4,M.S Angle,50x50x6,1100,4.950,4.50,2
3SB07,Bracing Angle-5,M.S Angle,50x50x6,1840,8.280,4.50,4
3SB08,Bracing Angle-6,M.S Angle,50x50x6,645,2.903,4.50,2
3SB09,Bracing Angle-7,M.S Angle,50x50x6,249,1.121,4.50,2
3SB10,Top Bracing Angle,M.S Angle,65x65x6,500,2.900,5.80,2
