,33kV Gantry Tower with peak-5.5Mtr,135-STR-SB-002,,,,,
"Ref 
MARK .No.",DESCRIPTION,MATERIAL,SECTION MM,"LENGTH 
MM",Unit Wt/PC,"Wt./Mtr
Kg./Mtr.","QTY
(in.Nos)"
3BS1,BASE PLATE,MS PLATE,16,400,5.030,125.76,2
3BS2,STIFFNER FLAT-1,MS FLAT,75X6,100,0.354,3.54,8
3BS3,FRAME-1,MS ANGLE ,50X50X6,2744,12.348,4.50,2
3BS1,BASE PLATE,MS PLATE,16,400,5.030,125.76,2
3BS2,STIFFNER FLAT-1,MS FLAT,75X6,100,0.354,3.54,8
3BS4,FRAME-2,MS ANGLE ,50X50X6,2744,12.348,4.50,2
3BS5,FRAME-3,MS ANGLE ,50X50X6,3084,13.878,4.50,2
3BS6,FRAME-4,MS ANGLE ,50X50X6,3084,13.878,4.50,2
3BS7,FRAME-5,MS ANGLE ,50X50X6,1480,6.660,4.50,2
3BS8,FRAME-6,MS ANGLE ,50X50X6,1480,6.660,4.50,2
3BS25,JOINING ANGLE,MS ANGLE ,50X50X6,256,1.152,4.50,4
3BS26,JOINING FLAT,MS FLAT,50X8,256,0.804,3.14,8
3BS9,BRACING-1,MS ANGLE ,45X45X5,979,3.329,3.40,8
3BS10,BRACING-2,MS ANGLE ,45X45X5,979,3.329,3.40,8
3BS11,BRACING-3,MS ANGLE ,45X45X5,885,3.009,3.40,8
3BS12,BRACING-4,MS ANGLE ,45X45X5,885,3.009,3.40,4
3BS13,BRACING-5,MS ANGLE ,50X50X6,630,2.835,4.50,4
3BS14,BRACING-6,MS ANGLE ,50X50X6,630,2.835,4.50,4
3BS15,BRACING-7,MS ANGLE ,45X45X5,1053,3.580,3.40,4
3BS16,BRACING-8,MS ANGLE ,45X45X5,326,1.108,3.40,4
3BS17,BRACING-9,MS ANGLE ,45X45X5,664,2.258,3.40,4
3BS18,BRACING-10,MS ANGLE ,45X45X5,664,2.258,3.40,4
3BS19,BRACING-11,MS ANGLE ,45X45X5,849,2.887,3.40,2
3BS20,BRACING-12,MS ANGLE ,45X45X5,849,2.887,3.40,2
3BS21,STIFFNER FLAT-2,MS FLAT,100X6,145,0.684,4.72,2
3BS22,LIGHTNING SPIKE FIXING PLATE,MS PLATE,6,47570,2.243,47.16,1
3BS23,SHIELD WIRE FIXING PLATE,MS PLATE,6,54289,2.560,47.16,1
3BS24,GRIDER FIXING FLAT,MS FLAT,100X8,154,0.970,6.30,8
