,33kV bus Gantry girder 5.1Mtrs for LA,135-STR-SB-004,,,,,,
"Ref 
MARK .No.",DESCRIPTION,MATERIAL,SECTION mm,"LENGTH 
mm",Unit Wt/PC,"Wt./Mtr
kg./mtr.","QTY
(in.Nos)",
3TB1A,MAIN FRAME-1,MS ANGLE ,50X50X6,4457,20.057,4.50,1,
3TB2,MAIN FRAME-2,MS ANGLE ,50X50X6,4457,20.057,4.50,1,
3TB16A,MAIN FRAME-3,MS ANGLE ,50X50X6,4457,20.057,4.50,1,
3TB17,MAIN FRAME-4,MS ANGLE ,50X50X6,4457,20.057,4.50,1,
3TB3,BRACING-1,MS ANGLE ,45X45X5,613,2.084,3.40,4,
3TB4,BRACING-2,MS ANGLE ,45X45X5,350,1.190,3.40,6,
3TB5,BRACING-3,MS ANGLE ,45X45X5,1443,4.906,3.40,4,
3TB6,BRACING-4,MS ANGLE ,45X45X5,801,2.723,3.40,2,
3TB7,BRACING-5,MS ANGLE ,45X45X5,631,2.145,3.40,3,
3TB8,BRACING-6,MS ANGLE ,45X45X5,1529,5.199,3.40,2,
3TB9,BRACING-7,MS ANGLE ,45X45X5,789,2.683,3.40,2,
3TB10,LA MOUNTING CHANNEL,ISMC,75X40,631,4.505,7.14,3,
3TB18,LA MOUNTING PLATE,MS PLATE,6mm,200,0.009,47.16,3,
3TB11,BRACING-8,MS ANGLE ,45X45X5,1492,5.073,3.40,2,
3TB12A,BRACING-9,MS ANGLE ,45X45X5,444,1.510,3.40,3,
3TB13,BRACING-10,MS ANGLE ,45X45X5,733,2.492,3.40,3,
3TB14,STRAIN PLATE,MS PLATE,6mm,127,0.006,47.16,9,
