,33kC CT Structure,,135-STR-SB-008,,,,
MARK NO.,DESCRIPTION,,SECTION,"LENGTH
(in mm)","QTY.
(in.Nos)","Wt./Mtr.
Kg./Mtr.",Unit Wt/PC
3CT1,MAIN FRAME - 1,,65x65x6,2408,2,5.80,13.966
3CT3,BASE PLATE,,150x12,150,2,94.20,2.120
3CT4,STIFFNER PLATE,,100x8,50,4,62.80,0.314
3CT2,MAIN FRAME - 2,,65x65x6,2408,2,5.80,13.966
3CT3,BASE PLATE,,150x12,150,2,94.20,2.120
3CT4,STIFFNER PLATE,,100x8,50,4,62.80,0.314
3CT5,BRACING ANGLE-1,,45x45x5,1784,4,3.40,6.066
3CT6,BRACING ANGLE-2,,45x45x5,1478,2,3.40,5.025
3CT7,BRACING ANGLE-3,,45x45x5,1137,2,3.40,3.866
3CT7A,BRACING ANGLE-4,,45x45x5,1137,2,3.40,3.866
3CT8,TOP BRACING ANGLE,,65x65x6,400,2,5.80,2.320
3CT9,CT MOUNTING CHANNEL,,75x40,3400,2,5.70,19.380
3CT10,SUPPORTING ANGLE FOR OPERATING BOX,,45x45x5,130,4,3.4,0.442
3CT11,OPERATING BOX FIXING ANGLE,,45x45x5,625,2,3.4,2.125
